date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:43:19	499/499	U-----	200	untouched ('OK')	text/plain	etag:W/%221f3-JuydqG8ieeaiL4vxjo09mpexgcU%22	https://www.meetingglass.com/robots.txt		(from )
16:43:20	332536/332536	U--MCZ	200	updated ('OK')	text/html	etag:W/%22966094b8597297c67c45a965163a1ebf%22	https://www.meetingglass.com/	C:/WORK/VWL/MeetingGlass.com/www.meetingglass.com/index.html	(from )
16:43:21	559/559	U-----	200	untouched ('')	application/javascript	etag:W/%229d1a493b511891ff2beb1359384eb679%22	https://static.parastorage.com/services/wix-thunderbolt/dist/originTrials.41d7301a.bundle.min.js	C:/WORK/VWL/MeetingGlass.com/static.parastorage.com/services/wix-thunderbolt/dist/originTrials.41d7301a.bundle.min.js	(from https://www.meetingglass.com/)
16:43:21	16294/16294	U-----	200	untouched ('')	image/png	date:Thu,%2001%20Feb%202024%2004:30:57%20GMT	https://static.wixstatic.com/media/c4de5f_b15a3f4226ce454f8dd9d79409e61c51~mv2.png/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/c4de5f_b15a3f4226ce454f8dd9d79409e61c51~mv2.png	C:/WORK/VWL/MeetingGlass.com/static.wixstatic.com/media/c4de5f_b15a3f4226ce454f8dd9d79409e61c51_mv2.png/v1/fill/w_180,h_180,lg_1,usm_0.66_1.00_0.01/c4de5f_b15a3f4226ce454f8dd9d79409e61c51_mv2.png	(from https://www.meetingglass.com/)
16:43:21	16718/16718	U-----	200	untouched ('')	image/png	date:Thu,%2001%20Feb%202024%2004:30:56%20GMT	https://static.wixstatic.com/media/c4de5f_b15a3f4226ce454f8dd9d79409e61c51~mv2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/c4de5f_b15a3f4226ce454f8dd9d79409e61c51~mv2.png	C:/WORK/VWL/MeetingGlass.com/static.wixstatic.com/media/c4de5f_b15a3f4226ce454f8dd9d79409e61c51_mv2.png/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/c4de5f_b15a3f4226ce454f8dd9d79409e61c51_mv2.png	(from https://www.meetingglass.com/)
16:43:21	1496/1496	U-----	200	untouched ('')	image/png	date:Thu,%2001%20Feb%202024%2004:30:57%20GMT	https://static.wixstatic.com/media/c4de5f_b15a3f4226ce454f8dd9d79409e61c51~mv2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/c4de5f_b15a3f4226ce454f8dd9d79409e61c51~mv2.png	C:/WORK/VWL/MeetingGlass.com/static.wixstatic.com/media/c4de5f_b15a3f4226ce454f8dd9d79409e61c51_mv2.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/c4de5f_b15a3f4226ce454f8dd9d79409e61c51_mv2.png	(from https://www.meetingglass.com/)
16:43:22	137771/137771	U-----	200	untouched ('')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/WORK/VWL/MeetingGlass.com/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.meetingglass.com/)
16:43:22	1171/1171	U-----	200	untouched ('')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/WORK/VWL/MeetingGlass.com/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.meetingglass.com/)
16:43:22	65591/65591	U--M-Z	200	updated ('OK')	text/javascript	date:Thu,%2015%20Feb%202024%2009:43:22%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/WORK/VWL/MeetingGlass.com/polyfill.io/v3/polyfill.mind82c.js	(from https://www.meetingglass.com/)
16:43:22	15649/15649	U-----	200	untouched ('')	image/png	etag:%22b8194fe3b35daef6408a7bd47939898d%22	https://static.parastorage.com/services/editor-elements-library/dist/thunderbolt/media/tiny_arrows.4355fe50.png	C:/WORK/VWL/MeetingGlass.com/static.parastorage.com/services/editor-elements-library/dist/thunderbolt/media/tiny_arrows.4355fe50.png	(from https://www.meetingglass.com/)
